generation,best_fitness,mean_fitness,n_selected,cache_size,timestamp
0,0.7806082022073496,0.7693093155945335,84,40,2026-04-17T02:59:36.933377
1,0.782378108724035,0.7732341983025407,74,78,2026-04-17T03:00:04.691727
2,0.78767093507855,0.7770330285976395,71,117,2026-04-17T03:00:32.585252
3,0.7880104786649869,0.7797251359519224,72,156,2026-04-17T03:00:59.427171
4,0.7880104786649869,0.7817593340406883,72,194,2026-04-17T03:01:24.874574
5,0.7883907754999452,0.7836109027030709,69,233,2026-04-17T03:01:51.246113
6,0.7903292522294482,0.7847990989486411,62,272,2026-04-17T03:02:16.977742
7,0.7915669212750359,0.7858459413888722,65,311,2026-04-17T03:02:42.884082
8,0.7915669212750359,0.7869697649816316,65,350,2026-04-17T03:03:09.671864
9,0.7927681484827784,0.7877885924499186,57,389,2026-04-17T03:03:35.969881
10,0.7944189472125718,0.7887141009874945,60,428,2026-04-17T03:04:01.516624
11,0.7949344111300976,0.7901845279573481,59,467,2026-04-17T03:04:24.440246
12,0.7974945049993253,0.7908294997918756,55,506,2026-04-17T03:04:47.716010
13,0.7974945049993253,0.7918272234178524,55,544,2026-04-17T03:05:10.148507
14,0.7977567836015864,0.7927466852488323,53,582,2026-04-17T03:05:30.941933
15,0.7977567836015864,0.7933741102640459,53,620,2026-04-17T03:05:52.973902
16,0.7980969005871599,0.7945704663424461,54,659,2026-04-17T03:06:13.123173
17,0.7984139705958415,0.7948949560032801,54,697,2026-04-17T03:06:34.506072
18,0.7985459581206215,0.7951195164080659,52,736,2026-04-17T03:06:54.585972
19,0.7998714686918649,0.7951755203590769,51,774,2026-04-17T03:07:15.729303
20,0.7998714686918649,0.7953513946583676,51,813,2026-04-17T03:07:35.893455
21,0.8001737137027262,0.7954035126686866,47,852,2026-04-17T03:07:57.162555
22,0.800720082894158,0.7954803202220301,49,890,2026-04-17T03:08:15.996324
23,0.8021178322947428,0.7962204864083159,49,929,2026-04-17T03:08:36.481095
24,0.8021178322947428,0.7964774844116665,49,968,2026-04-17T03:08:55.295673
25,0.8022746436457764,0.79708565450175,48,1005,2026-04-17T03:09:14.854181
26,0.8029639136911652,0.7981205038998261,45,1044,2026-04-17T03:09:33.517009
27,0.8032775196021981,0.7985792869888205,43,1083,2026-04-17T03:09:52.317305
28,0.8038655733401289,0.7990543498991529,45,1122,2026-04-17T03:10:11.475133
29,0.8038655733401289,0.8001868869208923,45,1161,2026-04-17T03:10:29.284063
30,0.8038655733401289,0.8008127520052903,45,1199,2026-04-17T03:10:46.943850
31,0.8048965011751804,0.8002226942538672,43,1237,2026-04-17T03:11:05.720971
32,0.8063973554255645,0.8003331422008358,40,1276,2026-04-17T03:11:23.456153
33,0.8069801955736617,0.8003361932872876,38,1315,2026-04-17T03:11:42.011289
34,0.8085665347084136,0.8016934205696622,35,1354,2026-04-17T03:12:00.973048
35,0.8085665347084136,0.8022334409603522,35,1393,2026-04-17T03:12:18.616192
36,0.8085665347084136,0.8017728455801467,35,1431,2026-04-17T03:12:36.245755
37,0.8085665347084136,0.801893349690695,35,1470,2026-04-17T03:12:54.913142
38,0.8085665347084136,0.8025523125752919,35,1508,2026-04-17T03:13:12.080497
39,0.8085665347084136,0.8029064838069585,35,1547,2026-04-17T03:13:29.877138
40,0.8085665347084136,0.8036062634665161,35,1586,2026-04-17T03:13:48.665326
