dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc,fit_time,clf_time
nsl_kdd,NoSelection,LogisticRegression,42,121,121,0.0,0.7548793470546487,0.8027811869367356,0.7548793470546487,0.7530102957704772,0.7544432962884495,0.7912180283391927,6.604194641113281e-05,7.01378607749939
nsl_kdd,NoSelection,LinearSVM,42,121,121,0.0,0.7530606813342796,0.8014116460512165,0.7530606813342796,0.7511112084119326,0.7525960228699876,,6.604194641113281e-05,3.987912178039551
nsl_kdd,NoSelection,DecisionTree,42,121,121,0.0,0.7746628814762243,0.8309610069620728,0.7746628814762243,0.7722973755676863,0.7739966644416982,0.7386489575217996,6.604194641113281e-05,1.4446942806243896
nsl_kdd,NoSelection,RandomForest,42,121,121,0.0,0.7650816181689141,0.8318896743594035,0.7650816181689141,0.7614104953720944,0.7638102536157441,0.9573860160605178,6.604194641113281e-05,16.477478742599487
nsl_kdd,NoSelection,ExtraTrees,42,121,121,0.0,0.7874822569198012,0.8425059072178196,0.7874822569198012,0.7854793956059668,0.786951713247076,0.9526928041164211,6.604194641113281e-05,25.138427019119263
nsl_kdd,NoSelection,GradientBoosting,42,121,121,0.0,0.8071770759403832,0.8538065826632008,0.8071770759403832,0.8061316975881068,0.8069818333567462,0.944467241517204,6.604194641113281e-05,44.4187536239624
nsl_kdd,NoSelection,HistGradientBoosting,42,121,121,0.0,0.8006121362668559,0.8494181001793437,0.8006121362668559,0.7993254105298716,0.8003421550884302,0.9609757204916147,6.604194641113281e-05,11.851239681243896
nsl_kdd,NoSelection,XGBoost,42,121,121,0.0,0.7919623846699787,0.8446884176203463,0.7919623846699787,0.7902337051037197,0.7915373132210773,0.9688828823697606,6.604194641113281e-05,2.889956474304199
nsl_kdd,NoSelection,LightGBM,42,121,121,0.0,0.787304826117814,0.8425679790355741,0.787304826117814,0.7852776223358725,0.7867643336835872,0.9581679612731898,6.604194641113281e-05,7.576220273971558
nsl_kdd,NoSelection,CatBoost,42,121,121,0.0,0.8015436479772888,0.8496304797961536,0.8015436479772888,0.8003243149782533,0.80129592233481,0.9598202876502704,6.604194641113281e-05,5.063401699066162
nsl_kdd,NoSelection,KNN,42,121,121,0.0,0.7802519517388219,0.8389004122818131,0.7802519517388219,0.7777780258522099,0.7795278211893197,0.8274175651710414,6.604194641113281e-05,63.41200828552246
nsl_kdd,NoSelection,MLP,42,121,121,0.0,0.7897001419446416,0.8335523977176829,0.7897001419446416,0.7886866079233341,0.7895257098099748,0.895315492830465,6.604194641113281e-05,117.18775010108948
