dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc,best_fitness,generations_run,stopped_early
nsl_kdd,GA,LogisticRegression,42,16,121,0.8677685950413223,0.8465189873417721,0.8466828974783663,0.8465189873417721,0.8463891451009427,0.8460796277763214,0.9339679820199104,0.8759764415748353,25,False
nsl_kdd,GA,RandomForest,42,16,121,0.8677685950413223,0.9925262590896848,0.9925274812330349,0.9925262590896848,0.9925259868836624,0.9925151180860515,0.998872437687368,0.8759764415748353,25,False
nsl_kdd,GA,LogisticRegression,123,15,121,0.8760330578512396,0.9221990304336116,0.923916587751804,0.9221990304336116,0.9220127012342278,0.9218033383750206,0.9653034297910701,0.8766829679926744,25,False
nsl_kdd,GA,RandomForest,123,15,121,0.8760330578512396,0.9929639105844331,0.9929646838883197,0.9929639105844331,0.9929637010013446,0.992953513440785,0.9993545472718653,0.8766829679926744,25,False
nsl_kdd,GA,LogisticRegression,256,19,121,0.8429752066115702,0.9387287907352545,0.9392520519510017,0.9387287907352545,0.9386645726962745,0.9385345078999342,0.9653155399603512,0.875477238036681,25,False
nsl_kdd,GA,RandomForest,256,19,121,0.8429752066115702,0.9936035550767573,0.9936040725312241,0.9936035550767573,0.9936036514258608,0.99359467490106,0.9989415893644031,0.875477238036681,25,False
nsl_kdd,GA,LogisticRegression,789,16,121,0.8677685950413223,0.8667856180985726,0.8749044164000565,0.8667856180985726,0.865606531811761,0.8650265852791363,0.8872165883868502,0.8785568017700068,25,False
nsl_kdd,GA,RandomForest,789,16,121,0.8677685950413223,0.9945461890654458,0.99454956901517,0.9945461890654458,0.994545887459211,0.9945378589884859,0.9994865492520041,0.8785568017700068,25,False
nsl_kdd,GA,LogisticRegression,1024,16,121,0.8677685950413223,0.9035820091570159,0.904121097230603,0.9035820091570159,0.9034659174002281,0.903253841282436,0.9565988421370677,0.8769965330356573,25,False
nsl_kdd,GA,RandomForest,1024,16,121,0.8677685950413223,0.992896579585241,0.9928965453914912,0.992896579585241,0.9928965343154389,0.9928864119876575,0.9989321304936637,0.8769965330356573,25,False
